expend,unit,geo\time	2019Q2 	2019Q1 	2018Q4 	2018Q3 	2018Q2 	2018Q1 	2017Q4 	2017Q3 	2017Q2 	2017Q1 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2014Q4 	2014Q3 	2014Q2 	2014Q1 	2013Q4 	2013Q3 	2013Q2 	2013Q1 	2012Q4 	2012Q3 	2012Q2 	2012Q1 	2011Q4 	2011Q3 	2011Q2 	2011Q1 	2010Q4 	2010Q3 	2010Q2 	2010Q1 	2009Q4 	2009Q3 	2009Q2 	2009Q1 	2008Q4 	2008Q3 	2008Q2 	2008Q1 	2007Q4 	2007Q3 	2007Q2 	2007Q1 	2006Q4 	2006Q3 	2006Q2 	2006Q1 	2005Q4 	2005Q3 	2005Q2 	2005Q1 
DW_ACQ,INX_Q,AT	117.45 	114.49 	114.31 	112.42 	111.28 	110.62 	107.52 	107.07 	105.18 	104.46 	103.09 	102.97 	102.04 	101.89 	100.14 	101.55 	99.84 	98.47 	96.98 	98.21 	97.56 	96.85 	94.82 	95.46 	94.80 	93.35 	92.56 	92.24 	91.20 	90.34 	89.10 	88.45 	87.33 	86.12 	85.16 	85.67 	84.04 	83.23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_ACQ,INX_Q,BE	110.12 p	109.58 	108.69 	109.31 	107.47 	106.22 	106.26 	106.11 	103.77 	103.94 	103.21 p	103.05 p	101.88 p	101.01 p	101.38 p	100.92 p	99.66 p	98.04 p	98.28 	97.90 	96.84 	96.77 	98.46 	97.99 	97.23 	96.55 	95.93 	96.38 	96.29 	95.91 	95.33 	94.88 	93.67 	93.31 	91.53 	90.84 	90.48 	90.04 	89.55 	90.89 	90.04 	91.14 	92.33 	91.37 	91.38 	90.20 	89.30 	89.42 	88.98 	87.96 	86.11 	85.62 	84.59 	82.72 	81.28 	80.50 	79.98 	79.63 
DW_ACQ,INX_Q,BG	128.66 p	129.03 	122.12 	122.14 	120.04 	115.74 	115.38 	114.51 	112.22 	112.86 	110.16 	108.50 	104.56 	102.97 	102.74 	100.06 	99.63 	97.58 	98.39 	96.86 	96.28 	95.89 	94.08 	93.09 	95.30 	94.33 	95.56 	99.14 	98.17 	96.85 	95.98 	96.62 	96.44 	99.06 	99.07 	98.77 	98.40 	98.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_ACQ,INX_Q,CY	112.96 p	107.75 	107.00 	102.59 	103.80 	102.10 	105.04 	101.94 	101.49 	98.26 	102.79 	101.05 	98.32 	95.94 	98.96 	101.91 	101.07 	98.06 	101.85 	102.11 	104.08 	98.72 	100.46 	103.08 	105.14 	105.88 	107.33 	109.56 	106.23 	106.38 	106.70 	109.74 	112.35 	111.13 	110.63 	111.71 	112.89 	114.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_ACQ,INX_Q,CZ	121.60 	119.80 	117.90 p	116.70 	114.30 	112.00 	110.30 p	109.50 	108.30 	106.50 	104.50 p	102.80 	101.60 	100.70 	100.40 p	100.30 	100.10 	99.20 	99.00 	98.80 	98.50 	98.30 	97.20 	96.70 	96.80 	96.90 	95.00 	95.00 	95.50 	95.30 	93.60 	94.10 	94.20 	93.80 	93.60 	93.50 	93.70 	93.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_ACQ,INX_Q,DE	115.60 p	114.50 p	113.00 	112.30 	110.70 	109.70 	107.90 	107.00 	106.00 	105.00 	103.90 	103.30 	102.70 	101.70 	100.70 	100.30 	99.70 	99.30 	98.20 	98.00 	97.50 	97.20 	96.20 	96.00 	95.60 	95.00 	94.30 	93.90 	93.40 	92.90 	91.80 	91.40 	90.80 	90.00 	88.90 	88.60 	88.20 	87.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_ACQ,INX_Q,DK	105.21 p	105.70 	104.90 	105.08 	105.61 	104.33 	103.20 	103.20 	102.39 	102.59 	102.47 	101.62 	101.60 	100.73 	100.57 	100.56 	100.43 	98.45 	98.52 	97.78 	97.59 	96.61 	96.13 	95.98 	95.89 	94.46 	94.09 	93.47 	92.91 	92.07 	91.21 	92.03 	91.68 	89.57 	88.90 	87.17 	86.06 	85.98 	85.71 	85.65 	85.74 	84.82 	86.38 	88.09 	88.04 	87.97 	87.94 	88.14 	87.07 	84.65 	83.27 	82.49 	81.81 	79.31 	75.97 	74.53 	72.94 	71.61 
DW_ACQ,INX_Q,EE	126.43 	126.56 	120.79 	117.54 	120.72 	121.62 	115.02 	114.26 	105.44 	107.95 	111.30 	111.57 	101.13 	97.10 	98.67 	99.37 	99.52 	102.45 	94.59 	95.08 	82.62 	88.19 	81.37 	77.42 	69.88 	72.11 	67.63 	71.09 	71.00 	66.65 	67.43 	66.52 	59.08 	55.81 	55.75 	60.69 	56.39 	54.97 	45.49 	50.69 	55.15 	56.22 	71.01 	83.00 	75.28 	84.37 	86.00 	84.90 	87.30 	81.35 	: 	: 	: 	: 	: 	: 	: 	: 
DW_ACQ,INX_Q,ES	123.28 	122.90 	119.73 	118.79 	116.66 	114.11 	112.28 	112.19 	110.64 	108.41 	105.66 	106.28 	106.06 	103.49 	101.50 	100.78 	100.15 	97.57 	96.59 	96.46 	94.85 	93.89 	93.86 	94.90 	93.04 	94.84 	97.08 	98.20 	101.20 	103.80 	109.08 	115.83 	120.05 	121.75 	123.95 	124.35 	125.62 	123.36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_ACQ,INX_Q,FI	107.97 	106.48 	107.63 	106.48 	105.56 	103.53 	103.44 	103.33 	103.54 	103.65 	101.59 	100.47 	100.95 	100.32 	100.38 	100.10 	99.37 	100.15 	99.60 	99.12 	99.45 	99.40 	98.41 	99.09 	98.45 	98.50 	97.74 	97.26 	96.79 	95.25 	93.96 	93.20 	92.12 	90.76 	90.15 	89.73 	88.03 	88.61 	87.67 	87.34 	86.87 	87.84 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_ACQ,INX_Q,FR	108.13 p	107.33 	107.91 	107.88 	106.88 	104.72 	105.80 	106.30 	104.70 	101.60 p	104.19 	102.26 	101.02 	101.20 	100.95 	100.08 	99.21 	99.76 	100.87 	98.98 	100.06 	101.12 	99.70 	98.30 	98.62 	97.79 	97.29 	99.30 	102.07 	99.28 	97.28 	99.64 	99.82 	97.78 	95.00 	94.61 	94.71 	92.20 	94.52 	92.64 	90.91 	91.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
